% Model:              labyrinthine.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 28 2016, 22:34
% Table:              Objective Table 5 - 
% b1                     b2                       a1                       a2                       a3                       Objective
0.003                    0.009                    0.006                    0.006                    0.006                    23.403361070575926
0.203                    0.009                    0.006                    0.006                    0.006                    19.87276610828891
0.003                    0.20900000000000002      0.006                    0.006                    0.006                    26.969307147941645
0.003                    0.20900000000000002      0.20600000000000002      0.006                    0.006                    29.06559332012759
0.003                    0.20900000000000002      0.20600000000000002      0.20600000000000002      0.006                    29.065593320127363
0.003                    0.20900000000000002      0.20600000000000002      0.006                    0.20600000000000002      34.42934199546893
0.003                    0.009000000000000008     0.006000000000000005     0.006                    0.056000000000000015     23.223683016883733
0.003                    0.009000000000000008     0.006000000000000005     0.05600000000000001      0.006000000000000005     26.582109541377104
0.003                    0.009000000000000008     0.056000000000000015     0.05600000000000001      0.006000000000000005     28.418074248412
-0.022000000000000006    0.009000000000000008     0.006000000000000005     0.005999999999999998     0.006000000000000005     22.284532991095702
0.003                    0.034000000000000016     0.006000000000000005     0.005999999999999998     0.006000000000000005     26.37421210419118
0.015000000000000003     0.01500000000000001      0.01250000000000001      0.0125                   6.938893903907228E-18    0
0.014999999999999996     0.015000000000000017     1.1275702593849246E-17   0.012499999999999995     1.3010426069826053E-17   0
0.008979130371550691     0.015000000000000013     0.0060000000000003       0.012499999999999995     0.012500000000000013     0
0.011269487941401618     0.015000000000000017     0.0060000000000003245    -4.336808689942018E-18   0.009983160703136786     0
-4.3368086899420177E-19  0.009531425790401709     0.006000000000000008     0.005038168274087514     6.283181069311177E-4     0
0.004122655256259374     0.008315047612607145     0.008707689989786745     0.00635851342561259      0.00524105767975279      22.559199254295272
0.003458823361288845     0.003458823361288877     0.0038423688701787937    0.00594045928219738      0.00786773268758879      0
-1.734723475976807E-18   0.00982073754149892      0.009295669212102418     0.004384550907960064     0.00998970908255251      0
0.0035018808758273965    0.010129379553411552     0.005708281714214028     0.008842926690411052     0.006266290603479013     23.02916386386952
0.005442418672240259     0.010497735314386513     0.005455963767997219     0.004879043285707169     0.006066974476345271     18.471928197330875
0.0034892919625477805    0.0076903322504830885    0.00544317384111798      0.0063306465206605595    0.006259591059979323     24.53918856150346
0.003475523015443951     0.007721005308786406     0.005672568683242009     0.006274745802737878     0.007003549565698959     24.279651069990262
0.0024350670844802457    0.006676197989432831     0.005222994865572792     0.006794884012818337     0.006065806058933142     26.060652984700532
0.0018055481652372145    0.005467006367804774     0.004599159009628153     0.007152381102121523     0.005808916085448063     25.34074004897666
0.0022607579774880917    0.006903049577598233     0.004536400359553117     0.0066474698647089854    0.006253857402739097     25.705431850128026
0.002033671532806345     0.0053202741815828744    0.005360351133828038     0.007279433564743896     0.005632097083118929     26.08963666767048
0.0018697723957283637    0.005147764985089965     0.005477801917284246     0.006549795065947029     0.005545136246937108     25.919862495481038
8.41062844599083E-4      0.005967450439874228     0.005941605345009594     0.007639966421062971     0.00526821075606792      19.80646903517177
0.0018988048290636739    0.005212055144617629     0.005638163501671343     0.007295505903485375     0.006341331277839246     25.951769710644296
0.002894733922060211     0.004463316085349724     0.004438172858739881     0.007185382179341379     0.005958198599478755     16.485789611997703
0.0025511611061297046    0.005527414287899544     0.005897616496525187     0.007216747713518703     0.005548040587481763     26.23777618082941
0.002581093437708128     0.0058470335122135795    0.005749592271674186     0.007096903369439555     0.005663199866958809     26.354737987897284
0.0031643490570207383    0.0055756353084588095    0.005361943059681765     0.0069899695115233085    0.005849749320219201     22.44117604599903
0.00207321768875812      0.006245420072023191     0.0061106393706546695    0.0072355253988304925    0.005453126402721066     25.803622682012147
0.002913583857807837     0.005863798804120772     0.005553471782990295     0.007084096657873681     0.005719143393943136     25.357649022099917
0.0025814370647526566    0.005840848703183746     0.005714187037812179     0.006978795504881251     0.005511853890934924     26.33572331865388
0.0024908860338209837    0.005755387777802252     0.0058817252546077       0.006815097634464335     0.005861134140972477     26.300111268060338
0.0023271849536108287    0.005746978863736342     0.005476003954371238     0.007123667710476841     0.005713603659779286     26.401806863276633
0.0021876228654084       0.00584618325670568      0.00555418952723925      0.007156552450311029     0.005673187144717355     26.223333055933903
0.002343660068292886     0.005823836750299949     0.005435128433349225     0.007094666296698723     0.005742694703303034     26.391357632622537
0.0024472888539469754    0.005634878094709907     0.00537939004835665      0.007142694150360311     0.005751803019904054     26.305168606457535
0.0023534887095410613    0.005767942535328752     0.005442007299728901     0.007194115240937987     0.005665783653647475     26.41230658535042
0.0024709119082955465    0.0056512522062807545    0.005349549995426779     0.0072023898486362785    0.005711884737211843     26.309147705956924
0.0023467815215542738    0.0057764591436338135    0.00546441145805667      0.007254294672284012     0.0057385553095915575    26.41505100782826
0.0021975496380678776    0.0058424861682936       0.005516014091206026     0.007312788379311317     0.005664847073198428     26.218853719711525
0.002404161277978339     0.0058083173969414115    0.005505819896457572     0.007253494777080745     0.005679275803775223     26.438166151543594
0.0024746396283256778    0.005799659782548935     0.0056362428063574666    0.007239827889767836     0.00580540233257079      26.426121594918108
0.002482059450535135     0.005763537342354466     0.005463290225198799     0.007258167065497478     0.005669476915722315     26.411232181972153
0.002372938921181359     0.005848714303277786     0.005562237760139118     0.007287037143285592     0.005623731328609076     26.42495690465105
0.002404161277978339     0.0058083173969414115    0.005505819896457572     0.007253494777080745     0.005679275803775223     26.438166151543516
