% Model:              labyrinthine.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 28 2016, 22:11
% Table:              Objective Table 5 - 
% b1                     b2                       Objective
0.003                    0.009                    23.232651270374696
0.203                    0.009                    19.561455491595677
0.003                    0.20900000000000002      26.845903144675976
-0.022000000000000006    0.009000000000000008     22.28539528280111
0.003                    0.034000000000000016     26.277155402484226
0.015                    0.015000000000000013     0
0.013965856099730653     0.015000000000000013     0
0                        0.01448292804986534      0
0.00275481125356319      0.0027548112535632193    0
0.0060422028777238875    0.009714581451458487     17.9337152683286
0.0027775556719228326    0.007453415126510587     25.255936022529852
0.0015199446139195507    0.006526149966597919     24.621578329592435
0.00391606868899753      0.006383277583971559     20.10758406875271
0.00239118874525406      0.008132438071981893     24.402656205863995
0.0024532611202153277    0.007235651643901981     25.479287838499623
0.0025621428615196303    0.007073504368048229     25.62948022046156
0.002543391779017598     0.006683329679568822     25.901097159112695
0.0027035408282842484    0.006327043035637299     25.843446981631168
0.002175350954581068     0.006552433376438905     25.896072872854305
0.0024940008677149027    0.006872293989788872     25.7843664548788
0.0025780770811296735    0.006592040726340863     25.934057926882787
0.002614283236087892     0.006501344213137742     25.943313164643847
0.00269739084706225      0.00645006197291564      25.865068075048523
0.002526098836356076     0.006459388822447131     26.016320959454397
0.0024407120629298664    0.006411998506053129     26.067598093843614
0.002386572865217849     0.0063307231073450225    26.112907279966475
0.0023006750491455234    0.006284265509924714     26.12963978395553
0.0023243152510971543    0.006189513813286878     26.174361453714575
0.0023355844112920372    0.006092509951546406     26.203923331411616
0.0022792910742506795    0.0060127114342117425    26.231851516711355
0.0022622757159172775    0.005916548963648386     26.252316268681813
0.0021801350033864068    0.005863731859326174     26.258379527502363
0.0022095193798907474    0.00577060129730965      26.271683632662878
0.002220061486601951     0.005673515731182898     26.256535478790745
0.0022147904332463493    0.0057220585142462735    26.267909637532924
0.002185247988359059     0.005767965770631849     26.27377397143982
0.002145683224126801     0.00579658071816389      26.26310554780298
0.0021829925000382256    0.005743656117812681     26.274897631930454
0.0021609090588195386    0.005733246119172206     26.27507122773196
0.002163836523484484     0.0057236842181773466    26.2757027328257
0.0021670553751956425    0.005714216431019749     26.276039106600898
0.0021660592543996447    0.005704266167537822     26.275997765499945
0.002177040809230646     0.005713676887571452     26.27563371925866
0.0021670553751956425    0.005714216431019749     26.276039106591966
